Country,Sex,Age,Population
Canada,m,0,197.3
Canada,m,1,198.2
Canada,m,2,201.4
Canada,m,3,202.2
Canada,m,4,204.3
Canada,m,5,206.1
Canada,m,6,207.4
Canada,m,7,209.8
Canada,m,8,210.2
Canada,m,9,210.1
Canada,m,10,213.4
Canada,m,11,214.5
Canada,m,12,213.8
Canada,m,13,209.2
Canada,m,14,205
Canada,m,15,204.5
Canada,m,16,208.4
Canada,m,17,212.1
Canada,m,18,222.3
Canada,m,19,233.6
Canada,m,20,246.8
Canada,m,21,253.7
Canada,m,22,253.5
Canada,m,23,255.7
Canada,m,24,261
Canada,m,25,266.6
Canada,m,26,265.2
Canada,m,27,266
Canada,m,28,267.8
Canada,m,29,271.7
Canada,m,30,273.1
Canada,m,31,265.9
Canada,m,32,259.6
Canada,m,33,261.1
Canada,m,34,266.4
Canada,m,35,265.5
Canada,m,36,263.6
Canada,m,37,260.2
Canada,m,38,257.2
Canada,m,39,255.7
Canada,m,40,251.8
Canada,m,41,244.4
Canada,m,42,240.4
Canada,m,43,238.8
Canada,m,44,238.4
Canada,m,45,237.9
Canada,m,46,232.4
Canada,m,47,232.7
Canada,m,48,236.1
Canada,m,49,244.4
Canada,m,50,244
Canada,m,51,240.2
Canada,m,52,238.4
Canada,m,53,240.7
Canada,m,54,254
Canada,m,55,269.4
Canada,m,56,276.9
Canada,m,57,277.7
Canada,m,58,270.3
Canada,m,59,270.5
Canada,m,60,265.4
Canada,m,61,258
Canada,m,62,254.4
Canada,m,63,245.9
Canada,m,64,237.6
Canada,m,65,231.6
Canada,m,66,219.9
Canada,m,67,208.4
Canada,m,68,198.6
Canada,m,69,192.3
Canada,m,70,185.2
Canada,m,71,178.8
Canada,m,72,175.4
Canada,m,73,171.2
Canada,m,74,144.1
Canada,m,75,131.1
Canada,m,76,124.1
Canada,m,77,115.6
Canada,m,78,103.6
Canada,m,79,94.6
Canada,m,80,85.3
Canada,m,81,78.5
Canada,m,82,71.4
Canada,m,83,64
Canada,m,84,59.2
Canada,m,85,52.4
Canada,m,86,46.5
Canada,m,87,42.1
Canada,m,88,36.7
Canada,m,89,31.4
Canada,m,90,25.7
Canada,m,91,20.4
Canada,m,92,16.2
Canada,m,93,12.4
Canada,m,94,9.4
Canada,m,95,6.9
Canada,m,96,4.9
Canada,m,97,3.3
Canada,m,98,2.3
Canada,m,99,1.6
Canada,f,0,188
Canada,f,1,188.9
Canada,f,2,191.7
Canada,f,3,192
Canada,f,4,194.6
Canada,f,5,196.2
Canada,f,6,198.3
Canada,f,7,199.6
Canada,f,8,201.4
Canada,f,9,201.2
Canada,f,10,205.3
Canada,f,11,206
Canada,f,12,206.5
Canada,f,13,201.7
Canada,f,14,197.7
Canada,f,15,196.6
Canada,f,16,201.1
Canada,f,17,203.6
Canada,f,18,211.4
Canada,f,19,219.3
Canada,f,20,229.5
Canada,f,21,233.5
Canada,f,22,234
Canada,f,23,234.4
Canada,f,24,242.2
Canada,f,25,245.6
Canada,f,26,246.4
Canada,f,27,249.9
Canada,f,28,254.6
Canada,f,29,259
Canada,f,30,262.1
Canada,f,31,256.8
Canada,f,32,254.1
Canada,f,33,256.2
Canada,f,34,260.6
Canada,f,35,261.6
Canada,f,36,261.6
Canada,f,37,260.7
Canada,f,38,259.6
Canada,f,39,258.5
Canada,f,40,255.8
Canada,f,41,250.5
Canada,f,42,245.4
Canada,f,43,244.9
Canada,f,44,243.9
Canada,f,45,242.7
Canada,f,46,238.2
Canada,f,47,236.5
Canada,f,48,239.2
Canada,f,49,247.3
Canada,f,50,246.7
Canada,f,51,244.2
Canada,f,52,241.9
Canada,f,53,243.7
Canada,f,54,255.3
Canada,f,55,271.5
Canada,f,56,278.7
Canada,f,57,280.1
Canada,f,58,273.9
Canada,f,59,275.5
Canada,f,60,271.4
Canada,f,61,265.4
Canada,f,62,261
Canada,f,63,255.1
Canada,f,64,247.1
Canada,f,65,243.3
Canada,f,66,233.7
Canada,f,67,221.8
Canada,f,68,211.9
Canada,f,69,205.5
Canada,f,70,199.5
Canada,f,71,194
Canada,f,72,191.5
Canada,f,73,188
Canada,f,74,159.1
Canada,f,75,145.5
Canada,f,76,139.1
Canada,f,77,131.1
Canada,f,78,120.1
Canada,f,79,112.8
Canada,f,80,103.4
Canada,f,81,96.9
Canada,f,82,90
Canada,f,83,82.7
Canada,f,84,78.5
Canada,f,85,72.2
