Counts of Cases, Deaths, and Tests in harmonized 10-year age groups: Wed May  6 15:49:50 2020
Country,Region,Code,Date,Sex,Age,AgeInt,Cases,Deaths,Tests
Algeria,All,DZ01.05.2020,01.05.2020,b,0,10,58.2,0.6,NA
Algeria,All,DZ01.05.2020,01.05.2020,b,10,10,90.2,0.8,NA
Algeria,All,DZ01.05.2020,01.05.2020,b,20,10,294.3,1.8,NA
Algeria,All,DZ01.05.2020,01.05.2020,b,30,10,636.7,7.3,NA
Algeria,All,DZ01.05.2020,01.05.2020,b,40,10,806.7,28.5,NA
Algeria,All,DZ01.05.2020,01.05.2020,b,50,10,768.8,75,NA
Algeria,All,DZ01.05.2020,01.05.2020,b,60,10,712,118.3,NA
Algeria,All,DZ01.05.2020,01.05.2020,b,70,10,502,113.2,NA
Algeria,All,DZ01.05.2020,01.05.2020,b,80,10,217,69.7,NA
Algeria,All,DZ01.05.2020,01.05.2020,b,90,10,59.6,30.7,NA
Algeria,All,DZ01.05.2020,01.05.2020,b,100,5,8.6,7,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,0,10,59.1,0.6,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,10,10,93.4,0.8,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,20,10,306.1,1.8,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,30,10,663.5,7.3,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,40,10,831.3,28.6,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,50,10,783.3,75.2,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,60,10,733.7,119.6,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,70,10,526.1,115.6,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,80,10,228.1,71.3,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,90,10,61.6,31.2,NA
Algeria,All,DZ02.05.2020,02.05.2020,b,100,5,8.7,7.1,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,0,10,36.6,0.6,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,10,10,57.2,0.8,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,20,10,157.8,1.7,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,30,10,369.7,6.3,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,40,10,583,25.6,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,50,10,635.6,73,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,60,10,540.3,110.2,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,70,10,334.4,95,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,80,10,142.9,56,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,90,10,44.8,26.2,NA
Algeria,All,DZ23.04.2020,23.04.2020,b,100,5,7.8,6.7,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,0,10,39.2,0.6,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,10,10,65,0.8,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,20,10,180.6,1.7,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,30,10,421.5,6.3,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,40,10,626.9,25.6,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,50,10,642.4,74,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,60,10,562.1,113.9,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,70,10,370.4,99.6,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,80,10,161.8,58.7,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,90,10,49.1,27,NA
Algeria,All,DZ24.04.2020,24.04.2020,b,100,5,8.1,6.7,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,0,10,40.4,0.6,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,10,10,67.7,0.8,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,20,10,190.9,1.7,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,30,10,444.1,6.3,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,40,10,651.7,25.6,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,50,10,662.4,75,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,60,10,583.7,115.7,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,70,10,387.7,100.6,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,80,10,168.9,58.9,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,90,10,50.5,27,NA
Algeria,All,DZ25.04.2020,25.04.2020,b,100,5,8.1,6.7,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,0,10,40.6,0.6,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,10,10,74.7,0.8,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,20,10,221.3,1.7,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,30,10,486.7,6.5,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,40,10,660.6,26.4,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,50,10,652.2,75,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,60,10,592.7,115.9,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,70,10,410.4,102.8,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,80,10,181.4,60.9,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,90,10,53.2,27.7,NA
Algeria,All,DZ26.04.2020,26.04.2020,b,100,5,8.3,6.8,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,0,10,40.7,0.6,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,10,10,76.9,0.8,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,20,10,237.6,1.8,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,30,10,523,7,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,40,10,685.6,27.8,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,50,10,656.9,75,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,60,10,606.3,115.1,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,70,10,432.7,105,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,80,10,193.2,63.4,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,90,10,55.6,28.6,NA
Algeria,All,DZ27.04.2020,27.04.2020,b,100,5,8.4,6.9,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,0,10,46,0.6,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,10,10,66.1,0.8,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,20,10,231.8,1.8,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,30,10,500.9,7,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,40,10,622.2,27.8,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,50,10,591.4,75,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,60,10,552.3,116.2,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,70,10,400.5,107,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,80,10,182.7,64.8,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,90,10,53.9,29.1,NA
Algeria,All,DZ28.04.2020,28.04.2020,b,100,5,8.3,6.9,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,0,10,53.2,0.6,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,10,10,77.4,0.8,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,20,10,269.9,1.8,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,30,10,596.8,7,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,40,10,750.1,27.8,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,50,10,706.7,75,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,60,10,654.5,117.6,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,70,10,467,109.9,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,80,10,205.9,66.8,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,90,10,57.8,29.7,NA
Algeria,All,DZ29.04.2020,29.04.2020,b,100,5,8.5,7,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,0,10,58.1,0.6,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,10,10,87.9,0.8,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,20,10,284.3,1.8,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,30,10,621,7.3,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,40,10,783.8,28.6,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,50,10,733.7,75,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,60,10,676.6,117.7,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,70,10,481.9,112,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,80,10,211.3,68.8,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,90,10,58.8,30.4,NA
Algeria,All,DZ30.04.2020,30.04.2020,b,100,5,8.6,7,NA
Austria,All,AT01.05.2020,01.05.2020,b,0,10,207.3,0,NA
Austria,All,AT01.05.2020,01.05.2020,b,10,10,736.1,0,NA
Austria,All,AT01.05.2020,01.05.2020,b,20,10,2013.9,0.3,NA
Austria,All,AT01.05.2020,01.05.2020,b,30,10,2038.5,1.4,NA
Austria,All,AT01.05.2020,01.05.2020,b,40,10,2645.8,4.7,NA
Austria,All,AT01.05.2020,01.05.2020,b,50,10,3211.2,13.3,NA
Austria,All,AT01.05.2020,01.05.2020,b,60,10,1807.3,44.4,NA
Austria,All,AT01.05.2020,01.05.2020,b,70,10,1284.6,157.6,NA
Austria,All,AT01.05.2020,01.05.2020,b,80,10,1171.4,219.5,NA
Austria,All,AT01.05.2020,01.05.2020,b,90,10,324.9,106.9,NA
Austria,All,AT01.05.2020,01.05.2020,b,100,5,17.1,12.1,NA
Austria,All,AT02.05.2020,02.05.2020,b,0,10,208.6,0,NA
Austria,All,AT02.05.2020,02.05.2020,b,10,10,735.7,0,NA
Austria,All,AT02.05.2020,02.05.2020,b,20,10,2019,0.3,NA
Austria,All,AT02.05.2020,02.05.2020,b,30,10,2044.2,1.4,NA
Austria,All,AT02.05.2020,02.05.2020,b,40,10,2649.1,4.6,NA
Austria,All,AT02.05.2020,02.05.2020,b,50,10,3216.7,13.3,NA
Austria,All,AT02.05.2020,02.05.2020,b,60,10,1810.2,44.3,NA
Austria,All,AT02.05.2020,02.05.2020,b,70,10,1286.8,158.8,NA
Austria,All,AT02.05.2020,02.05.2020,b,80,10,1177.8,222.8,NA
Austria,All,AT02.05.2020,02.05.2020,b,90,10,326.7,107.5,NA
Austria,All,AT02.05.2020,02.05.2020,b,100,5,17.1,12,NA
Austria,All,AT23.04.2020,23.04.2020,b,0,10,191.6,0,NA
Austria,All,AT23.04.2020,23.04.2020,b,10,10,706.5,0,NA
Austria,All,AT23.04.2020,23.04.2020,b,20,10,1958.3,0.3,NA
Austria,All,AT23.04.2020,23.04.2020,b,30,10,1960.2,1.5,NA
Austria,All,AT23.04.2020,23.04.2020,b,40,10,2564.5,3.5,NA
Austria,All,AT23.04.2020,23.04.2020,b,50,10,3141.4,10,NA
Austria,All,AT23.04.2020,23.04.2020,b,60,10,1764.1,42.4,NA
Austria,All,AT23.04.2020,23.04.2020,b,70,10,1236.5,144,NA
Austria,All,AT23.04.2020,23.04.2020,b,80,10,1104.7,194.2,NA
Austria,All,AT23.04.2020,23.04.2020,b,90,10,306.5,94.6,NA
Austria,All,AT23.04.2020,23.04.2020,b,100,5,16.7,11.4,NA
Austria,All,AT24.04.2020,24.04.2020,b,0,10,192.8,0,NA
Austria,All,AT24.04.2020,24.04.2020,b,10,10,711.7,0,NA
Austria,All,AT24.04.2020,24.04.2020,b,20,10,1958.2,0.3,NA
Austria,All,AT24.04.2020,24.04.2020,b,30,10,1965.7,1.5,NA
Austria,All,AT24.04.2020,24.04.2020,b,40,10,2575.1,3.5,NA
Austria,All,AT24.04.2020,24.04.2020,b,50,10,3142.8,10.3,NA
Austria,All,AT24.04.2020,24.04.2020,b,60,10,1765.5,43.8,NA
Austria,All,AT24.04.2020,24.04.2020,b,70,10,1241.3,145.8,NA
Austria,All,AT24.04.2020,24.04.2020,b,80,10,1112,198.6,NA
Austria,All,AT24.04.2020,24.04.2020,b,90,10,310.1,94.9,NA
Austria,All,AT24.04.2020,24.04.2020,b,100,5,16.8,11.4,NA
Austria,All,AT25.04.2020,25.04.2020,b,0,10,193.4,0,NA
Austria,All,AT25.04.2020,25.04.2020,b,10,10,716.1,0,NA
Austria,All,AT25.04.2020,25.04.2020,b,20,10,1966.6,0.3,NA
Austria,All,AT25.04.2020,25.04.2020,b,30,10,1972.7,1.4,NA
Austria,All,AT25.04.2020,25.04.2020,b,40,10,2584.5,3.9,NA
Austria,All,AT25.04.2020,25.04.2020,b,50,10,3157.1,11.2,NA
Austria,All,AT25.04.2020,25.04.2020,b,60,10,1774.4,43.5,NA
Austria,All,AT25.04.2020,25.04.2020,b,70,10,1251.1,147.3,NA
Austria,All,AT25.04.2020,25.04.2020,b,80,10,1125.6,197.9,NA
Austria,All,AT25.04.2020,25.04.2020,b,90,10,313.7,95.9,NA
Austria,All,AT25.04.2020,25.04.2020,b,100,5,16.8,11.5,NA
Austria,All,AT26.04.2020,26.04.2020,b,0,10,192.8,0,NA
Austria,All,AT26.04.2020,26.04.2020,b,10,10,718.6,0,NA
Austria,All,AT26.04.2020,26.04.2020,b,20,10,1983.2,0.3,NA
Austria,All,AT26.04.2020,26.04.2020,b,30,10,1982,1.4,NA
Austria,All,AT26.04.2020,26.04.2020,b,40,10,2595.3,3.9,NA
Austria,All,AT26.04.2020,26.04.2020,b,50,10,3163.5,11.2,NA
Austria,All,AT26.04.2020,26.04.2020,b,60,10,1778.9,43.8,NA
Austria,All,AT26.04.2020,26.04.2020,b,70,10,1254.7,149.4,NA
Austria,All,AT26.04.2020,26.04.2020,b,80,10,1136.1,201.2,NA
Austria,All,AT26.04.2020,26.04.2020,b,90,10,317.9,97.3,NA
Austria,All,AT26.04.2020,26.04.2020,b,100,5,16.9,11.6,NA
Austria,All,AT27.04.2020,27.04.2020,b,0,10,197.6,0,NA
Austria,All,AT27.04.2020,27.04.2020,b,10,10,727.8,0,NA
Austria,All,AT27.04.2020,27.04.2020,b,20,10,1988.1,0.3,NA
Austria,All,AT27.04.2020,27.04.2020,b,30,10,1989,1.4,NA
Austria,All,AT27.04.2020,27.04.2020,b,40,10,2603.4,3.8,NA
Austria,All,AT27.04.2020,27.04.2020,b,50,10,3171.7,11.5,NA
Austria,All,AT27.04.2020,27.04.2020,b,60,10,1783.6,45.5,NA
Austria,All,AT27.04.2020,27.04.2020,b,70,10,1260,151.1,NA
Austria,All,AT27.04.2020,27.04.2020,b,80,10,1140.1,204.3,NA
Austria,All,AT27.04.2020,27.04.2020,b,90,10,317.8,99.3,NA
Austria,All,AT27.04.2020,27.04.2020,b,100,5,16.9,11.7,NA
Austria,All,AT28.04.2020,28.04.2020,b,0,10,197.9,0,NA
Austria,All,AT28.04.2020,28.04.2020,b,10,10,729.9,0,NA
Austria,All,AT28.04.2020,28.04.2020,b,20,10,1995.4,0.3,NA
Austria,All,AT28.04.2020,28.04.2020,b,30,10,1999.2,1.4,NA
Austria,All,AT28.04.2020,28.04.2020,b,40,10,2611.3,4.3,NA
Austria,All,AT28.04.2020,28.04.2020,b,50,10,3178.7,12.4,NA
Austria,All,AT28.04.2020,28.04.2020,b,60,10,1792.1,45.1,NA
Austria,All,AT28.04.2020,28.04.2020,b,70,10,1267.9,154.7,NA
Austria,All,AT28.04.2020,28.04.2020,b,80,10,1152.4,209,NA
Austria,All,AT28.04.2020,28.04.2020,b,90,10,322.2,101.1,NA
Austria,All,AT28.04.2020,28.04.2020,b,100,5,17,11.7,NA
Austria,All,AT29.04.2020,29.04.2020,b,0,10,202,0,NA
Austria,All,AT29.04.2020,29.04.2020,b,10,10,732.1,0,NA
Austria,All,AT29.04.2020,29.04.2020,b,20,10,1996.9,0.3,NA
