Country,Region,Code,Date,Sex,Age,AgeInt,Cases,Deaths
Belgium,All,BE01.03.2020,01.03.2020,b,0,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,5,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,10,5,1.7,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,15,5,2.3,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,20,5,0.7,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,25,5,0.3,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,30,5,0.3,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,35,5,0.7,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,40,5,2,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,45,5,3,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,50,5,1.9,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,55,5,1.1,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,60,5,0.6,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,65,5,0.4,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,70,5,0.7,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,75,5,0.3,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,80,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,85,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,90,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,95,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,b,100,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,0,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,5,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,10,5,1.5,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,15,5,1.5,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,20,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,25,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,30,5,0.3,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,35,5,0.7,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,40,5,0.9,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,45,5,1.1,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,50,5,0.8,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,55,5,0.2,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,60,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,65,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,70,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,75,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,80,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,85,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,90,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,95,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,f,100,5,0,NaN
Belgium,All,BE01.03.2020,01.03.2020,m,0,5,0,NaN
