Country,Region,Code,Date,Sex,Age,AgeInt,Metric,Measure,Value,Short
Belgium,All,BE01.03.2020,01.03.2020,b,0,10,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,b,10,10,Count,Measure,4,BE
Belgium,All,BE01.03.2020,01.03.2020,b,20,10,Count,Measure,1,BE
Belgium,All,BE01.03.2020,01.03.2020,b,30,10,Count,Measure,1,BE
Belgium,All,BE01.03.2020,01.03.2020,b,40,10,Count,Measure,5,BE
Belgium,All,BE01.03.2020,01.03.2020,b,50,10,Count,Measure,3,BE
Belgium,All,BE01.03.2020,01.03.2020,b,60,10,Count,Measure,1,BE
Belgium,All,BE01.03.2020,01.03.2020,b,70,10,Count,Measure,1,BE
Belgium,All,BE01.03.2020,01.03.2020,b,80,10,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,b,90,15,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,b,UNK,NA,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,b,0,25,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,b,25,20,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,b,45,20,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,b,65,10,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,b,75,10,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,b,85,20,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,b,UNK,NA,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,f,0,10,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,f,10,10,Count,Measure,3,BE
Belgium,All,BE01.03.2020,01.03.2020,f,20,10,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,f,30,10,Count,Measure,1,BE
Belgium,All,BE01.03.2020,01.03.2020,f,40,10,Count,Measure,2,BE
Belgium,All,BE01.03.2020,01.03.2020,f,50,10,Count,Measure,1,BE
Belgium,All,BE01.03.2020,01.03.2020,f,60,10,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,f,70,10,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,f,80,10,Count,Measure,0,BE
Belgium,All,BE01.03.2020,01.03.2020,f,90,15,Count,Measure,0,BE
