Population offsets used for splitting: Wed May  6 11:31:35 2020
Country,Region,Sex,Age,Population
Belgium,All,b,0,120024
Belgium,All,b,1,118851
Belgium,All,b,2,121042
Belgium,All,b,3,123915
Belgium,All,b,4,125572
Belgium,All,b,5,128982
Belgium,All,b,6,129624
Belgium,All,b,7,132490
Belgium,All,b,8,133905
Belgium,All,b,9,136360
Belgium,All,b,10,135333
Belgium,All,b,11,135804
Belgium,All,b,12,133119
Belgium,All,b,13,132240
Belgium,All,b,14,129170
Belgium,All,b,15,127514
Belgium,All,b,16,124659
Belgium,All,b,17,124041
Belgium,All,b,18,126894
Belgium,All,b,19,129941
Belgium,All,b,20,129366
Belgium,All,b,21,131012
Belgium,All,b,22,134196
Belgium,All,b,23,135987
Belgium,All,b,24,136928
Belgium,All,b,25,138890
Belgium,All,b,26,144879
Belgium,All,b,27,150083
Belgium,All,b,28,152425
Belgium,All,b,29,152422
Belgium,All,b,30,150705
Belgium,All,b,31,150424
Belgium,All,b,32,148003
Belgium,All,b,33,148116
Belgium,All,b,34,145330
Belgium,All,b,35,146430
Belgium,All,b,36,146813
Belgium,All,b,37,149873
Belgium,All,b,38,151760
Belgium,All,b,39,153342
Belgium,All,b,40,150934
Belgium,All,b,41,149105
Belgium,All,b,42,147237
Belgium,All,b,43,145293
Belgium,All,b,44,143025
Belgium,All,b,45,146777
Belgium,All,b,46,149822
Belgium,All,b,47,154414
Belgium,All,b,48,157243
Belgium,All,b,49,158502
Belgium,All,b,50,156571
Belgium,All,b,51,155870
Belgium,All,b,52,156005
Belgium,All,b,53,159429
Belgium,All,b,54,162280
Belgium,All,b,55,166235
Belgium,All,b,56,162508
Belgium,All,b,57,158415
Belgium,All,b,58,157290
Belgium,All,b,59,154377
Belgium,All,b,60,153447
Belgium,All,b,61,148498
Belgium,All,b,62,144305
Belgium,All,b,63,140303
Belgium,All,b,64,136965
Belgium,All,b,65,132734
Belgium,All,b,66,127974
Belgium,All,b,67,125507
Belgium,All,b,68,119005
Belgium,All,b,69,118220
Belgium,All,b,70,116032
Belgium,All,b,71,115562
Belgium,All,b,72,112461
Belgium,All,b,73,110963
Belgium,All,b,74,92112
Belgium,All,b,75,89889
Belgium,All,b,76,83263
Belgium,All,b,77,71898
Belgium,All,b,78,63571
Belgium,All,b,79,68776
Belgium,All,b,80,71907
Belgium,All,b,81,70128
Belgium,All,b,82,64421
Belgium,All,b,83,59573
Belgium,All,b,84,55044
Belgium,All,b,85,51888
Belgium,All,b,86,47319
Belgium,All,b,87,43975
Belgium,All,b,88,39218
Belgium,All,b,89,34306
Belgium,All,b,90,27322
Belgium,All,b,91,22247
Belgium,All,b,92,17783
Belgium,All,b,93,14067
Belgium,All,b,94,10917
Belgium,All,b,95,8141
Belgium,All,b,96,5767
Belgium,All,b,97,3977
Belgium,All,b,98,2684
Belgium,All,b,99,1760
Belgium,All,b,100,829
Belgium,All,b,101,334
Belgium,All,b,102,212
Belgium,All,b,103,134
Belgium,All,b,104,131
Belgium,All,f,0,58584
Belgium,All,f,1,58191
Belgium,All,f,2,59201
Belgium,All,f,3,60488
Belgium,All,f,4,61386
Belgium,All,f,5,62802
Belgium,All,f,6,63244
Belgium,All,f,7,64926
Belgium,All,f,8,65422
Belgium,All,f,9,66599
Belgium,All,f,10,66034
Belgium,All,f,11,66081
Belgium,All,f,12,65151
Belgium,All,f,13,64799
Belgium,All,f,14,62915
Belgium,All,f,15,62071
Belgium,All,f,16,60959
Belgium,All,f,17,60388
Belgium,All,f,18,61983
Belgium,All,f,19,63344
Belgium,All,f,20,63345
Belgium,All,f,21,64236
Belgium,All,f,22,66123
Belgium,All,f,23,67268
Belgium,All,f,24,67785
Belgium,All,f,25,68691
Belgium,All,f,26,72231
Belgium,All,f,27,74893
Belgium,All,f,28,76121
Belgium,All,f,29,76260
Belgium,All,f,30,75189
Belgium,All,f,31,75442
Belgium,All,f,32,74169
Belgium,All,f,33,73956
Belgium,All,f,34,72905
Belgium,All,f,35,73451
Belgium,All,f,36,73278
Belgium,All,f,37,74994
Belgium,All,f,38,75609
Belgium,All,f,39,76849
Belgium,All,f,40,74842
Belgium,All,f,41,74366
Belgium,All,f,42,73303
Belgium,All,f,43,72087
Belgium,All,f,44,70767
Belgium,All,f,45,72500
Belgium,All,f,46,73779
Belgium,All,f,47,76537
Belgium,All,f,48,77943
Belgium,All,f,49,78173
Belgium,All,f,50,77263
Belgium,All,f,51,77150
Belgium,All,f,52,76741
Belgium,All,f,53,78780
Belgium,All,f,54,80146
Belgium,All,f,55,82633
Belgium,All,f,56,80843
Belgium,All,f,57,78827
Belgium,All,f,58,78926
Belgium,All,f,59,77294
Belgium,All,f,60,77443
Belgium,All,f,61,74949
Belgium,All,f,62,72893
Belgium,All,f,63,71439
Belgium,All,f,64,70143
Belgium,All,f,65,67977
Belgium,All,f,66,65675
Belgium,All,f,67,64422
Belgium,All,f,68,61609
Belgium,All,f,69,61561
Belgium,All,f,70,60377
Belgium,All,f,71,60846
Belgium,All,f,72,59403
Belgium,All,f,73,58826
Belgium,All,f,74,49735
Belgium,All,f,75,48593
Belgium,All,f,76,45405
Belgium,All,f,77,39600
Belgium,All,f,78,35518
Belgium,All,f,79,38933
Belgium,All,f,80,41459
